Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Classrooms Selected at School,Students covered by rehab / constructed classrooms,Classrooms Completed and Equipped,5.2 Distribution of School Kits
060400000,060409000,060409016,Singapore Red Cross,Aklan,Libacao,Ogsip,Ogsip Primary School,,1,,,
060400000,060409000,060409008,Singapore Red Cross,Aklan,Libacao,Casit-an,Casit-an Elementary School,,1,,,
060400000,060409000,060409013,Singapore Red Cross,Aklan,Libacao,Luctoga,Luctoga Elementary School,,1,,,
060400000,060409000,060409019,Singapore Red Cross,Aklan,Libacao,Pampango,Pampango Elementary School,,1,,,
060400000,060409000,060409017,Singapore Red Cross,Aklan,Libacao,Ortega,Ortega Integrated School,,1,,,
060400000,060409000,060409011,Singapore Red Cross,Aklan,Libacao,Janlud,Janlud Primary School,,1,,,
060400000,060409000,060409010,Singapore Red Cross,Aklan,Libacao,Guadalupe,Guadalupe Elementary  School,,1,,,
060400000,060409000,060409010,Singapore Red Cross,Aklan,Libacao,Guadalupe,Gaudalupe National High School,,1,,,
060400000,060409000,060409001,Singapore Red Cross,Aklan,Libacao,Agmailig,Agmailig Elementary School,,1,,,
061900000,061905000,061905015,Singapore Red Cross,Capiz,Ivisan,Santa Cruz,Purification A. Alagban Elem. School,5/23/14,3,60,,
061900000,061905000,061905011,Hong Kong Red Cross,Capiz,Ivisan,Mianay,Don Catalino Andrada Memorial School,5/27/14,3,120,,
061900000,061905000,061905013,Singapore Red Cross,Capiz,Ivisan,Poblacion Norte,Ivisan Elementary School,6/6/14,10,450,,
061900000,061914000,061914045,Singapore Red Cross,Capiz,Roxas City (Capital),Sibaguan,Don Canuto Fuentes Memorial School,6/6/14,4,160,,
061900000,061910000,061910012,Singapore Red Cross,Capiz,Panitan,Capagao,Capagao Elementary School,6/6/14,2,60,,
061900000,061910000,061910005,Singapore Red Cross,Capiz,Panitan,Bahit,Bahit Elementary School,6/6/14,2,60,,
061900000,061909000,061909005,Singapore Red Cross,Capiz,Panay,Bagacay,Bagacay Elementary School,6/6/14,1,25,,
083700000,083747000,083747120,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 87,San Jose Central School/ First Aid Kit donated by PRC Rizal,2/9/14,20,3500,20,1
083700000,083747000,083747099,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 68,Anibong Elmentary School/ First Aid Kit donated by PRC Rizal,3/28/14,2,988,2,1
083700000,083747000,083747076,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 49,Leyte National High School,4/1/14,9,6210,9,
083700000,083747000,083747129,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 95 (Caibaan),Caibaan Elementary School,4/1/14,9,964,9,1
083700000,083747000,#N/A,Chinese Red Cross,Leyte,Tacloban City (Capital),,RTR ELEM School/ First Aid Kit donated by PRC Rizal,4/1/14,7,980,7,1
083700000,083749000,083749012,Chinese Red Cross,Leyte,Tolosa,Tanghas,Visayas State University Tolosa,4/1/14,6,1500,6,
083700000,083747000,083747025,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 106 (Santo Ni–o),Sto.Nino SPED Center/ First Aid Kit donated by PRC Rizal,4/1/14,3,1042,3,1
083700000,083747000,083747012,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 6,Panalaron Central School/ First Aid Kit donated by PRC Rizal,4/1/14,2,818,2,1
083700000,083747000,083747094,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 64,Sagkahan National High School,4/5/14,7,2665,7,
083700000,083749000,083749005,Chinese Red Cross,Leyte,Tolosa,Malbog,Tolosa NHS,4/5/14,4,1378,4,
083700000,083748000,083748041,Chinese Red Cross,Leyte,Tanauan,Canramos (Pob.),Tanauan School of Craftsmanship & Home Industries,4/5/14,3,1314,3,
083700000,083718000,083718031,Chinese Red Cross,Leyte,Dulag,Serrano (Pob.),Dulag National High School,4/7/14,7,2382,7,
083700000,083739000,083739022,Chinese Red Cross,Leyte,Palo,Cavite West (Pob.),Palo Nat'l High School,4/11/14,26,2700,26,
083700000,083741000,083741025,Chinese Red Cross,Leyte,Pastrana,District 4 (Pob.),Juan Villablanca,4/11/14,20,1134,20,
083700000,083747000,083747155,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 94-A,Tacloban Agricultural School,4/11/14,12,606,12,
083700000,083747000,083747071,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 44-A,City Central Elementary School/ First Aid Kit donated by PRC Rizal,4/11/14,4,1154,4,1
083700000,083747000,083747108,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 77,Dr. A.P. Banez Elementary School/ First Aid Kit donated by PRC Rizal,41742,6,933,6,1
083700000,083747000,083747134,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 109 (V & G Subd.),V&G dela Cruz Memorial School ,41744,6,1829,6,
083700000,083747000,083747120,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 87,San Jose National High  School,41744,5,1015,5,
083700000,083747000,083747149,Chinese Red Cross,Leyte,Tacloban City (Capital),Barangay 62-B,Sagkahan Elementary School,41750,8,1966,8,
083700000,083722000,083722004,Netherlands Red Cross,Leyte,Isabel,Bantigue,Bantigue Day Care Center,,1,,,
083700000,083722000,083722007,Netherlands Red Cross,Leyte,Isabel,Can-andan,Can-Andan Day Care Center,,1,,,
083700000,083722000,083722018,Netherlands Red Cross,Leyte,Isabel,San Francisco,San Francisco Day Care Center,,1,,,
083700000,083722000,083722002,Netherlands Red Cross,Leyte,Isabel,Antipolo,Antipolo Elementary School,,,,,
