Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Facility Selected,Facility Type,Rehab / Construction Started,Facility Equipped,Construction & Handover Completed,Community Selected,# Households in Targeted Community,Facilitators Trained,CHVs Trained,PSP to Affected Sessions Conducted,Volunteers trained as Facilitators on PSP-RFL,Individuals Reached,PSP for Humanitarians Sessions Conducted,Humanitarians Reached
PH060400000,PH060401000,PH060401007,IFRC,Aklan,Altavas,Lumaynay,,9/6/14,,,,,,,,,8,,,,,
PH060400000,PH060401000,PH060401007,IFRC,Aklan,Altavas,Lumaynay,,8/4/14,,,,,,,269,,,,,,,
PH060400000,PH060401000,PH060401011,IFRC,Aklan,Altavas,Poblacion,,7/14/14,1,RHU,,,,,,,,,,,,
PH060400000,PH060401000,PH060401013,IFRC,Aklan,Altavas,Talon,,9/6/14,,,,,,,,,8,,,,,
PH060400000,PH060401000,PH060401013,IFRC,Aklan,Altavas,Talon,,8/4/14,,,,,,,349,,,,,,,
PH060400000,PH060401000,PH060401014,IFRC,Aklan,Altavas,Tibiao,,9/6/14,,,,,,,,,6,,,,,
PH060400000,PH060401000,PH060401014,IFRC,Aklan,Altavas,Tibiao,,8/4/14,,,,,,,284,,,,,,,
PH060400000,PH060402000,PH060402009,Spanish Red Cross,Aklan,Balete,Morales,,8/5/14,1,BHS,,,,,,,,,,,,
PH060400000,PH060403000,PH060403006,Singapore Red Cross,Aklan,Banga,Daguitan,,7/14/14,1,BHS,,,,,105,,,,,,,
PH060400000,PH060403000,PH060403008,Singapore Red Cross,Aklan,Banga,Daja Sur,,8/4/14,,,,,,,254,,,,,,,
PH060400000,PH060403000,PH060403027,Singapore Red Cross,Aklan,Banga,Tinapuay,,8/4/14,,,,,,,103,,,,,,,
PH060400000,PH060410000,PH060410023,Spanish Red Cross,Aklan,Madalag,Talangban,,8/15/14,1,RHU,,,,,,,,,,,,
PH060400000,PH060413000,PH060413003,IFRC,Aklan,Malinao,Bulabud,,8/4/14,,,,,,,496,,,,,,,
PH060400000,PH060413000,PH060413003,IFRC,Aklan,Malinao,Bulabud,,9/26/14,,,,,,,,,9,,,,,
PH060400000,PH060413000,PH060413013,IFRC,Aklan,Malinao,Navitas,,8/4/14,,,,,,,284,,,,,,,
PH060400000,PH060413000,PH060413013,IFRC,Aklan,Malinao,Navitas,,9/26/14,,,,,,,,,6,,,,,
PH060400000,PH060413000,PH060413016,IFRC,Aklan,Malinao,Rosario,,8/4/14,1,BHS,,,,,496,,,,,,,
PH060400000,PH060413000,PH060413016,IFRC,Aklan,Malinao,Rosario,,9/26/14,,,,,,,,,10,,,,,
