Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,HH Support Beneficiaries Selected,First Installment,Second Installment,Skills Dev Trainees Selected,Training Started,Training Completed,Trainees Placed,Selection of Enterprise,Beneficiary Submitted Business Plan,Enterprise Support Completed (cash transferred),Comm Proposals Submitted,Support Initiated,Project Turnover
PH060400000,PH060401000,PH060401001,IFRC,Aklan,Altavas,Cabangila,,8/7/14,83,,,,,,,,,,,,
PH060400000,PH060401000,PH060401001,IFRC,Aklan,Altavas,Cabangila,,9/5/14,,80,,,,,,,,,,,
PH060400000,PH060401000,PH060401003,IFRC,Aklan,Altavas,Catmon,,8/7/14,99,,,,,,,,,,,,
PH060400000,PH060401000,PH060401003,IFRC,Aklan,Altavas,Catmon,,9/5/14,,92,,,,,,,,,,,
PH060400000,PH060401000,PH060401004,IFRC,Aklan,Altavas,Dalipdip,,8/7/14,43,,,,,,,,,,,,
PH060400000,PH060401000,PH060401004,IFRC,Aklan,Altavas,Dalipdip,,9/5/14,,40,,,,,,,,,,,
PH060400000,PH060401000,PH060401009,IFRC,Aklan,Altavas,Man-up,,8/7/14,105,,,,,,,,,,,,
PH060400000,PH060401000,PH060401009,IFRC,Aklan,Altavas,Man-up,,9/5/14,,102,,,,,,,,,,,
PH060400000,PH060401000,PH060401012,IFRC,Aklan,Altavas,Quinasay-an,,8/7/14,56,,,,,,,,,,,,
PH060400000,PH060401000,PH060401012,IFRC,Aklan,Altavas,Quinasay-an,,9/5/14,,39,,,,,,,,,,,
PH060400000,PH060401000,PH060401013,IFRC,Aklan,Altavas,Talon,,8/7/14,86,,,,,,,,,,,,
PH060400000,PH060401000,PH060401013,IFRC,Aklan,Altavas,Talon,,9/5/14,,78,,,,,,,,,,,
PH060400000,PH060401000,PH060401014,IFRC,Aklan,Altavas,Tibiao,,8/7/14,65,,,,,,,,,,,,
PH060400000,PH060401000,PH060401014,IFRC,Aklan,Altavas,Tibiao,,9/5/14,,61,,,,,,,,,,,
PH060400000,PH060402000,PH060402001,Spanish Red Cross,Aklan,Balete,Aranas,,9/19/14,303,,,,,,,,,,,,
PH060400000,PH060402000,PH060402002,Spanish Red Cross,Aklan,Balete,Arcangel,,9/19/14,180,,,,,,,,,,,,
PH060400000,PH060402000,PH060402004,Spanish Red Cross,Aklan,Balete,Calizo,,9/19/14,289,,,,,,,,,,,,
PH060400000,PH060402000,PH060402005,Spanish Red Cross,Aklan,Balete,Cortes,,9/19/14,207,,,,,,,,,,,,
PH060400000,PH060402000,PH060402006,Spanish Red Cross,Aklan,Balete,Feliciano,,9/19/14,212,,,,,,,,,,,,
PH060400000,PH060402000,PH060402007,Spanish Red Cross,Aklan,Balete,Fulgencio,,9/19/14,182,,,,,,,,,,,,
PH060400000,PH060402000,PH060402008,Spanish Red Cross,Aklan,Balete,Guanko,,9/19/14,81,,,,,,,,,,,,
PH060400000,PH060402000,PH060402009,Spanish Red Cross,Aklan,Balete,Morales,,9/19/14,231,,,,,,,,,,,,
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,,9/19/14,58,,,,,,,,,,,,
PH060400000,PH060403000,PH060403001,IFRC,Aklan,Banga,Agbanawan,,7/3/14,61,56,,,,,,,,,,,
PH060400000,PH060403000,PH060403001,IFRC,Aklan,Banga,Agbanawan,,8/19/14,,,55,,,,,,,,,,
PH060400000,PH060403000,PH060403003,IFRC,Aklan,Banga,Badiangan,,8/19/14,82,80,,,,,,,,,,,
PH060400000,PH060403000,PH060403005,IFRC,Aklan,Banga,Cupang,,8/19/14,42,42,,,,,,,,,,,
PH060400000,PH060403000,PH060403006,IFRC,Aklan,Banga,Daguitan,,8/19/14,32,28,,,,,,,,,,,
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,,7/3/14,55,51,,,,,,,,,,,
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,,8/19/14,,,50,,,,,,,,,,
PH060400000,PH060403000,PH060403008,IFRC,Aklan,Banga,Daja Sur,,7/3/14,71,63,,,,,,,,,,,
PH060400000,PH060403000,PH060403008,IFRC,Aklan,Banga,Daja Sur,,8/19/14,,,55,,,,,,,,,,
PH060400000,PH060403000,PH060403009,IFRC,Aklan,Banga,Dingle,,7/3/14,120,105,,,,,,,,,,,
PH060400000,PH060403000,PH060403009,IFRC,Aklan,Banga,Dingle,,8/19/14,,,105,,,,,,,,,,
PH060400000,PH060403000,PH060403012,IFRC,Aklan,Banga,Libas,,8/19/14,46,46,,,,,,,,,,,
PH060400000,PH060403000,PH060403014,IFRC,Aklan,Banga,Mambog,,8/19/14,132,130,,,,,,,,,,,
PH060400000,PH060403000,PH060403015,IFRC,Aklan,Banga,Mangan,,8/19/14,127,125,,,,,,,,,,,
PH060400000,PH060403000,PH060403016,IFRC,Aklan,Banga,Muguing,,8/19/14,51,50,,,,,,,,,,,
PH060400000,PH060403000,PH060403017,IFRC,Aklan,Banga,Pagsanghan,,7/7/14,135,108,,,,,,,,,,,
PH060400000,PH060403000,PH060403018,IFRC,Aklan,Banga,Palale,,8/16/14,34,34,,,,,,,,,,,
PH060400000,PH060403000,PH060403020,IFRC,Aklan,Banga,Polo,,8/16/14,39,39,,,,,,,,,,,
PH060400000,PH060403000,PH060403021,IFRC,Aklan,Banga,Polocate,,8/16/14,150,150,,,,,,,,,,,
PH060400000,PH060403000,PH060403022,IFRC,Aklan,Banga,San Isidro,,7/3/14,31,28,,,,,,,,,,,
PH060400000,PH060403000,PH060403022,IFRC,Aklan,Banga,San Isidro,,9/19/14,,,28,,,,,,,,,,
PH060400000,PH060403000,PH060403023,IFRC,Aklan,Banga,Sibalew,,7/3/14,66,65,,,,,,,,,,,
PH060400000,PH060403000,PH060403023,IFRC,Aklan,Banga,Sibalew,,8/19/14,,,63,,,,,,,,,,
PH060400000,PH060403000,PH060403024,IFRC,Aklan,Banga,Sigcay,,8/16/14,50,50,,,,,,,,,,,
