Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Shelter Repair Beneficiaries Selected,"First Distribution (6,000 PHP)","Second Distribution (4,000 PHP)",CGI,Shelter Repair Closeout / Completed,Shelter Tool Kits,Sanitation Kits,Core Shelter Beneficiaries Selected,Relocation Beneficiaries Selected,Construction Started,Wooden Core Shelter Completed,Half-Concrete Core Shelter Completed,Relocation Completed,Core Shelter PDM,Relocation PDM,Training- Skilled Labour
PH060400000,PH060402000,PH060402001,Spanish Red Cross,Aklan,Balete,Aranas,,41775,261,,,,,200,379,118,,,,,,,,
PH060400000,PH060402000,PH060402001,Spanish Red Cross,Aklan,Balete,Aranas,,41841,,,,,,,,,,6,6,,,,,
PH060400000,PH060402000,PH060402001,Spanish Red Cross,Aklan,Balete,Aranas,,41866,,,,,,,,,,1,1,,,,,
PH060400000,PH060402000,PH060402001,Spanish Red Cross,Aklan,Balete,Aranas,,41943,,261,,,,,,,,,,,,,,
PH060400000,PH060402000,PH060402002,Spanish Red Cross,Aklan,Balete,Arcangel,,41810,202,,,,,81,262,82,,,,,,,,
PH060400000,PH060402000,PH060402002,Spanish Red Cross,Aklan,Balete,Arcangel,,41922,-1,,,,,,,,,,,,,,,
PH060400000,PH060402000,PH060402002,Spanish Red Cross,Aklan,Balete,Arcangel,,41943,,201,,,,,,,,6,,,,,,
PH060400000,PH060402000,PH060402004,Spanish Red Cross,Aklan,Balete,Calizo,,41802,271,,,,,180,395,124,,,,,,,,
PH060400000,PH060402000,PH060402005,Spanish Red Cross,Aklan,Balete,Cortes,,41802,159,,,,,84,254,93,,,,,,,,
PH060400000,PH060402000,PH060402005,Spanish Red Cross,Aklan,Balete,Cortes,,41922,2,,,,,,,,,,,,,,,
PH060400000,PH060402000,PH060402005,Spanish Red Cross,Aklan,Balete,Cortes,,41943,,,,,,,,,,6,,,,,,
PH060400000,PH060402000,PH060402006,Spanish Red Cross,Aklan,Balete,Feliciano,,41845,180,,,,,99,260,80,,,,,,,,
PH060400000,PH060402000,PH060402007,Spanish Red Cross,Aklan,Balete,Fulgencio,,41841,198,,,,,151,293,93,,,,,,,,
PH060400000,PH060402000,PH060402007,Spanish Red Cross,Aklan,Balete,Fulgencio,,41922,2,,,,,,,,,,,,,,,
PH060400000,PH060402000,PH060402008,Spanish Red Cross,Aklan,Balete,Guanko,,41765,90,,,,,128,128,37,,,,,,,,
PH060400000,PH060402000,PH060402008,Spanish Red Cross,Aklan,Balete,Guanko,,41866,,,,,,,,,,4,4,,,,,
PH060400000,PH060402000,PH060402008,Spanish Red Cross,Aklan,Balete,Guanko,,41880,,,,,,,,,,8,8,,,,,
PH060400000,PH060402000,PH060402008,Spanish Red Cross,Aklan,Balete,Guanko,,41901,,,,,,,,,,5,,,,,,
PH060400000,PH060402000,PH060402008,Spanish Red Cross,Aklan,Balete,Guanko,,41908,,,,,,,,,,,3,,,,,
